temperatura_agua_C,oxigenio_dissolvido_mgL,racao_diaria_g,dias_desde_criacao,densidade_tanque_pm3,ph_agua,peso_g
24.7,6.36,11.0,172,19.2,6.79,155.1
27.2,7.07,61.7,282,23.1,7.66,302.9
29.3,5.61,68.4,298,25.3,7.07,278.9
28.2,5.91,61.8,320,37.8,7.06,281.0
21.0,8.41,20.0,216,28.5,7.31,164.8
23.4,5.91,62.7,333,21.8,8.5,338.3
19.5,7.63,63.8,320,33.3,6.61,313.1
29.4,8.55,56.1,115,38.3,7.66,50.0
25.3,5.53,63.6,195,5.8,6.67,248.4
20.7,7.84,69.2,143,39.4,6.81,121.7
26.1,6.28,53.0,212,8.0,7.38,235.9
25.4,9.81,16.2,236,33.5,7.52,185.7
22.3,7.42,44.1,285,14.8,7.02,285.6
19.4,9.03,15.4,264,9.6,7.13,232.5
26.1,7.75,38.5,32,20.4,6.67,52.2
24.2,5.22,38.5,237,27.5,7.11,222.1
27.3,8.17,14.6,226,18.3,8.43,173.9
24.2,9.76,34.4,154,6.9,8.39,212.6
28.2,8.01,17.8,167,26.0,7.17,114.5
24.6,9.1,66.6,54,36.6,7.64,85.8
24.7,9.42,76.3,97,18.4,8.32,133.4
28.5,6.14,15.1,90,12.6,6.51,54.9
22.8,6.06,76.9,58,20.5,8.12,99.4
19.6,8.05,46.6,48,6.7,8.4,63.1
18.3,7.06,31.0,200,33.7,6.68,95.9
27.1,9.2,15.4,103,33.9,6.82,59.2
25.4,9.5,45.0,90,25.6,8.42,97.6
26.4,6.77,65.6,182,17.4,7.58,228.0
20.6,6.18,59.5,305,33.0,6.53,221.9
19.6,8.9,13.5,77,24.4,7.02,53.9
18.2,6.37,15.1,240,33.9,7.4,112.4
22.2,9.11,38.2,168,27.1,7.89,167.7
25.1,7.12,30.7,139,32.5,7.97,117.2
22.7,8.34,26.3,212,25.9,8.49,170.4
23.2,5.48,29.7,57,19.5,7.08,87.2
28.8,8.12,66.2,226,38.5,7.58,181.1
22.2,7.26,75.0,220,23.9,7.57,256.9
24.2,7.93,38.4,344,26.2,7.31,305.1
27.4,5.84,73.4,80,12.7,6.84,112.5
22.8,8.68,32.5,178,26.9,8.45,145.7
25.5,9.31,43.4,297,25.0,8.21,237.5
28.3,6.08,25.8,79,11.5,7.5,141.4
29.4,5.48,54.8,275,7.1,7.71,265.6
19.8,5.12,78.5,142,26.2,6.95,162.5
29.1,8.21,52.2,199,31.7,7.59,161.3
23.9,8.04,35.0,195,23.3,7.89,147.3
21.1,7.73,55.3,43,12.9,7.53,56.7
23.5,6.16,18.6,232,28.3,8.48,163.1
29.8,6.95,72.2,317,7.8,7.72,374.8
23.9,7.97,45.2,218,20.5,7.24,211.4
21.9,7.48,41.5,184,10.7,8.04,157.1
25.6,9.94,51.0,84,11.5,6.84,151.0
20.9,5.68,53.7,211,12.1,7.27,203.7
18.9,8.48,15.0,239,18.5,7.19,182.1
19.5,7.02,57.8,104,6.8,7.36,180.3
19.5,7.14,26.9,306,18.9,8.06,238.9
19.8,8.59,60.0,162,22.9,7.47,156.6
19.7,8.46,67.6,88,21.9,8.09,130.9
25.7,9.96,66.3,211,18.4,7.65,272.8
20.2,5.64,48.7,350,34.4,7.18,254.5
22.1,5.52,46.4,93,10.1,8.12,120.7
28.8,8.62,20.0,356,22.7,6.98,296.8
23.7,7.89,64.3,289,7.2,6.95,354.2
26.0,6.37,29.0,222,7.5,7.51,226.7
20.1,5.4,44.8,172,25.1,7.02,173.8
20.3,5.43,29.9,133,24.8,6.52,95.6
18.5,9.47,19.4,243,35.7,7.8,138.2
20.0,5.96,54.1,271,24.5,7.52,220.3
21.3,6.62,13.8,238,38.6,7.39,114.4
20.1,6.13,62.4,122,6.7,8.43,175.1
19.1,6.77,32.2,171,8.4,7.64,157.8
19.4,5.35,10.0,141,6.5,8.23,96.3
23.5,7.6,45.8,88,11.5,6.78,167.6
20.5,5.34,13.3,72,23.9,7.64,50.0
22.4,9.0,29.3,236,27.6,8.24,215.1
24.0,6.17,59.5,297,6.6,7.67,349.0
26.3,7.7,14.4,325,38.1,7.94,170.1
18.5,9.4,68.8,147,34.5,7.24,143.6
27.6,8.25,10.3,49,15.4,6.68,69.7
25.5,7.66,27.3,251,7.7,7.42,230.0
19.0,6.62,61.9,195,10.9,7.29,236.5
28.5,6.67,32.1,160,9.4,8.23,149.7
29.1,8.35,17.1,185,9.3,6.99,136.6
18.7,9.97,35.2,213,23.1,8.43,177.6
21.3,8.31,28.9,119,13.6,8.42,98.3
27.7,7.79,69.0,123,17.5,7.0,141.1
27.0,8.65,31.9,42,39.6,7.2,50.0
20.2,7.33,65.2,351,29.0,8.29,243.7
20.5,5.3,72.4,322,38.2,8.43,215.1
22.4,7.81,40.4,259,10.0,7.39,341.2
23.8,9.79,73.7,351,18.4,7.14,406.7
25.4,5.88,36.4,321,24.4,7.55,238.8
22.4,8.45,77.5,55,7.7,7.88,196.0
23.6,6.0,16.3,104,5.1,7.05,105.4
27.0,7.68,58.1,328,28.5,7.97,265.5
18.4,5.48,44.6,179,27.5,6.6,92.5
21.0,7.25,37.1,177,19.4,6.6,167.0
26.6,8.78,54.3,37,22.1,7.27,119.8
28.7,6.74,59.3,58,19.5,7.21,66.4
24.1,8.32,10.3,325,5.8,7.13,267.9
24.4,8.98,21.7,238,16.7,7.48,257.9
19.3,9.64,59.9,157,11.2,7.14,257.5
23.4,6.17,56.6,145,8.4,6.88,149.0
24.4,7.0,77.6,173,38.5,7.12,180.2
20.9,5.76,63.3,347,26.0,8.45,288.5
21.2,9.96,76.6,264,30.5,7.32,256.7
22.5,9.64,59.2,36,16.0,7.39,83.5
18.2,7.7,30.9,74,18.8,7.65,91.4
21.9,9.21,17.4,268,13.3,8.47,238.6
20.5,7.6,64.7,184,8.4,6.98,247.0
21.9,8.12,55.1,210,11.3,7.86,227.1
19.4,5.45,13.4,244,32.9,7.93,100.9
28.7,8.78,35.2,117,28.7,7.71,50.0
25.1,5.64,77.0,285,24.1,6.68,271.8
26.1,9.13,45.0,102,21.6,7.85,157.0
27.5,8.91,40.3,208,37.3,6.63,124.9
24.0,8.54,42.0,241,7.5,7.69,241.0
19.0,5.18,24.6,322,14.8,7.98,257.1
24.4,6.52,35.8,263,17.2,6.92,261.7
25.0,6.32,35.9,268,32.4,8.18,171.8
26.9,6.8,13.7,252,39.7,6.56,118.4
23.2,5.44,63.7,148,13.4,8.19,181.3
19.5,9.68,39.2,342,35.6,7.42,262.8
21.4,7.77,67.6,293,34.1,6.94,283.4
22.4,6.53,69.5,236,12.9,6.77,330.7
25.8,6.98,24.8,124,19.0,8.41,53.2
24.8,7.24,56.0,251,19.3,6.65,283.7
22.3,8.0,43.1,305,39.2,6.9,230.8
29.8,7.58,71.6,260,11.3,7.2,328.9
25.3,9.6,25.1,338,33.0,7.74,280.0
20.8,7.48,57.4,148,16.7,7.59,176.7
19.2,9.96,52.5,297,30.6,6.75,277.1
19.8,9.26,30.7,302,19.7,7.08,262.4
21.0,6.04,19.6,93,25.2,6.98,50.0
19.9,9.65,55.6,327,34.1,6.93,299.6
20.2,5.58,61.7,40,33.1,7.32,50.0
21.4,9.09,32.1,127,35.3,7.91,97.1
20.1,6.9,55.1,100,7.1,6.93,158.0
28.8,9.39,37.7,87,29.2,7.23,50.0
19.0,9.34,59.9,319,9.9,7.28,333.5
24.3,9.03,23.9,280,19.6,8.45,248.3
22.9,8.95,72.3,305,24.2,8.41,290.6
29.8,6.52,30.1,79,19.1,8.1,50.0
19.3,5.4,35.7,245,23.2,6.98,220.3
22.8,7.01,14.1,81,39.9,6.64,50.0
29.6,5.87,17.8,300,9.7,7.13,263.5
28.4,8.47,46.1,113,28.6,7.03,92.7
27.8,6.73,28.7,322,18.9,7.51,279.3
21.1,9.88,68.5,155,9.7,8.06,271.9
20.1,8.2,11.0,325,10.6,8.22,250.7
26.0,9.11,36.5,101,38.2,8.19,95.6
29.2,5.66,33.6,325,35.8,7.22,224.7
24.7,9.31,11.4,265,36.7,7.87,151.6
24.9,9.61,18.7,85,39.7,7.13,98.2
21.4,7.44,39.0,139,12.3,6.62,166.9
27.2,8.03,44.5,221,17.4,7.9,230.4
20.2,8.82,38.3,122,28.4,6.52,91.6
21.9,5.87,47.2,85,21.9,7.32,74.0
23.1,7.51,51.7,89,19.6,7.16,133.7
24.1,6.99,10.7,167,17.5,7.89,175.2
20.9,5.73,42.5,68,25.8,8.03,50.0
19.4,6.84,77.4,57,25.1,7.11,94.5
25.3,5.34,46.3,78,10.7,8.12,140.7
21.5,5.13,57.4,154,21.5,7.09,147.4
25.0,5.68,31.8,42,24.4,7.39,50.0
19.9,9.82,64.2,65,25.0,7.95,120.8
23.8,7.75,64.1,130,12.4,7.89,186.2
24.4,9.83,46.5,311,31.0,8.47,270.8
18.6,7.16,78.3,115,5.9,6.95,213.0
22.0,6.56,18.8,33,17.4,7.82,50.0
19.6,7.53,11.2,252,32.3,7.72,168.6
18.8,7.2,63.9,195,24.7,8.33,156.2
29.9,5.53,66.5,307,14.1,6.81,276.1
21.9,8.2,18.4,159,29.3,8.0,63.1
27.7,6.08,28.6,60,24.9,7.64,50.0
21.1,8.1,11.2,40,32.9,7.05,50.0
26.2,8.25,30.5,331,30.7,7.45,250.5
27.1,5.76,64.1,125,26.4,7.17,144.6
25.1,5.31,46.3,219,22.1,7.66,149.4
23.7,8.9,34.4,221,9.7,8.28,187.8
22.9,7.3,36.0,295,14.1,7.64,262.9
22.2,5.29,10.1,157,19.7,7.76,113.1
29.2,9.97,31.0,267,26.0,7.54,229.9
28.0,5.29,55.3,141,23.0,6.6,103.5
29.6,8.48,78.2,345,15.1,6.97,391.8
19.5,9.92,69.3,174,5.2,7.48,243.6
26.8,6.2,11.7,94,22.4,7.12,69.1
29.3,5.71,72.9,276,15.0,6.86,269.5
20.2,5.61,64.8,252,30.7,7.51,187.0
18.8,6.52,64.6,342,5.8,7.15,346.1
26.9,5.51,42.1,135,25.5,7.02,127.8
24.9,8.46,37.9,210,38.0,7.43,167.7
28.1,5.31,31.2,213,11.1,6.77,214.1
19.7,7.55,14.6,255,21.5,8.36,183.8
27.5,9.98,26.0,294,8.2,8.24,244.7
20.4,9.07,27.3,307,26.9,7.92,292.6
20.0,8.08,43.9,118,24.3,6.71,120.3
20.0,6.53,62.3,205,19.3,8.05,211.0
27.8,8.12,43.2,47,23.2,8.12,50.0
26.0,7.64,14.0,135,36.4,8.04,79.0
24.3,7.13,77.0,300,11.9,6.73,315.9
22.3,5.65,76.0,348,5.8,7.79,393.3
28.5,9.43,65.0,196,35.2,8.17,113.0
22.7,7.25,79.4,42,25.2,7.65,113.3
27.8,5.97,48.1,61,36.2,7.79,50.0
23.3,6.84,77.4,69,25.9,7.42,124.4
22.5,7.07,15.3,177,33.4,7.56,136.6
23.6,9.14,35.6,247,20.0,6.57,259.2
21.6,8.67,25.8,248,31.2,7.78,213.3
27.0,8.85,23.7,111,37.0,6.66,81.1
24.0,5.06,19.9,362,25.0,7.37,262.1
20.8,7.08,53.6,237,11.3,7.09,274.8
28.8,7.41,64.7,230,14.4,7.59,205.1
22.6,5.1,50.5,361,12.0,6.77,322.2
24.5,6.3,20.3,67,13.6,7.88,106.2
28.9,8.8,66.8,240,15.7,8.09,246.0
25.5,5.69,54.5,356,24.4,6.83,261.5
19.4,7.68,37.2,278,25.6,6.71,271.5
29.3,6.08,57.2,256,19.9,6.79,244.4
25.5,5.06,28.2,77,26.5,8.25,50.0
22.0,6.21,34.2,47,7.9,7.56,64.1
19.7,9.88,74.2,324,8.1,7.43,386.0
27.5,9.01,30.3,225,11.0,6.71,236.3
25.4,9.8,42.9,216,23.1,7.8,194.3
24.4,7.44,72.3,253,12.5,8.24,284.4
28.7,5.55,59.5,347,14.9,8.16,270.8
27.5,7.74,14.4,258,19.0,7.75,193.2
19.8,7.27,20.3,106,33.4,6.65,61.7
21.7,9.22,10.5,217,5.5,6.72,205.2
21.0,5.49,54.2,299,27.7,6.6,287.0
26.9,7.44,41.3,124,28.4,7.01,70.3
18.4,5.75,19.4,339,33.0,6.77,201.4
24.8,6.62,77.1,161,37.6,7.02,137.5
27.1,8.69,47.1,68,5.7,7.27,143.2
28.5,7.38,26.9,101,10.4,8.39,131.2
22.1,6.88,45.0,310,36.0,7.72,205.5
27.9,6.97,57.6,362,21.0,8.17,303.3
19.3,7.3,15.3,189,24.8,7.92,134.6
28.2,8.93,29.2,216,28.2,6.73,168.8
19.5,9.46,66.5,220,28.8,7.97,214.0
22.8,9.78,42.2,149,37.6,7.05,102.5
27.6,8.93,48.3,249,39.9,7.78,179.5
19.8,6.58,40.3,82,30.2,7.18,85.0
20.8,8.44,13.1,251,15.1,8.5,158.1
26.7,7.19,21.6,160,35.8,7.03,71.2
26.6,6.27,41.2,266,6.7,7.06,232.1
25.7,9.2,24.6,275,13.1,8.36,266.5
26.3,5.19,13.5,255,36.4,6.55,159.7
24.5,9.51,69.1,237,14.0,7.89,285.9
21.0,7.31,78.7,125,12.7,7.95,161.2
22.1,8.19,65.5,229,9.8,8.17,245.6
20.2,8.3,69.8,276,35.1,8.45,216.1
28.9,9.48,26.9,101,22.5,8.45,66.8
25.0,8.18,77.2,347,28.6,6.63,356.8
22.8,8.07,23.8,214,13.4,8.14,183.2
23.5,5.33,76.6,35,31.5,7.79,65.0
29.4,7.59,79.6,235,31.6,7.79,205.8
19.8,5.75,59.8,61,15.9,6.76,72.6
25.0,8.69,78.7,128,19.4,7.8,183.3
24.1,7.56,49.9,285,12.3,8.46,294.1
25.3,8.4,28.2,216,39.2,8.32,150.7
18.2,5.21,40.6,105,27.6,7.38,55.7
28.5,5.42,51.5,206,37.7,6.58,94.3
29.2,8.58,15.1,344,15.6,7.22,316.3
24.8,5.36,53.6,316,32.4,8.15,217.8
26.4,5.36,78.7,284,31.8,7.9,250.9
29.1,5.06,23.3,354,29.2,7.42,236.2
26.5,9.78,65.5,219,38.8,6.61,188.7
19.8,8.69,73.6,337,18.8,7.35,337.0
24.9,6.77,76.1,156,9.6,7.44,248.1
25.3,6.48,77.2,316,28.5,8.36,193.3
23.1,6.75,46.5,283,30.5,7.78,257.3
26.8,8.87,78.4,242,25.1,7.12,246.2
29.2,8.31,63.0,279,12.2,7.55,308.3
29.1,5.93,21.3,113,22.7,6.63,70.0
23.4,5.87,43.4,42,15.9,8.45,89.2
19.4,5.49,60.3,74,20.0,7.22,99.2
29.8,8.3,27.3,156,27.6,7.46,89.2
28.1,8.82,54.8,143,31.1,7.21,98.9
19.5,6.33,56.7,305,13.1,7.87,280.9
29.1,5.1,21.4,234,19.2,7.82,112.0
28.4,5.41,49.6,302,14.4,7.93,250.8
24.2,9.84,64.0,87,12.0,7.04,177.7
25.1,6.48,44.9,357,32.4,7.13,270.5
22.8,8.85,10.8,248,36.8,6.75,158.3
18.7,8.12,10.6,138,18.0,7.81,92.1
22.0,6.91,35.0,308,31.3,6.58,220.3
27.6,6.03,74.8,203,36.4,7.7,104.4
18.1,5.61,26.0,357,34.6,8.24,177.9
22.0,8.08,54.4,293,11.4,8.28,315.5
22.8,8.87,25.5,344,38.5,7.4,272.1
24.4,8.22,32.5,140,18.2,7.42,109.9
29.0,7.65,69.4,216,16.9,6.65,212.7
22.2,5.21,61.0,298,7.2,7.84,337.4
22.2,9.84,16.7,258,22.0,8.14,194.0
26.9,8.99,40.0,185,8.8,6.99,221.7
23.4,6.46,12.0,218,13.7,7.34,230.1
20.7,9.9,43.7,301,16.1,8.18,280.7
23.4,8.01,56.4,31,33.3,8.25,50.0
19.7,7.91,18.3,275,35.6,6.99,170.7
20.1,8.74,30.2,239,15.6,7.6,271.5
24.0,9.06,37.8,315,35.1,6.88,269.5
23.0,8.28,74.4,42,35.0,6.7,70.3
29.0,5.64,79.5,125,31.8,8.32,87.3
22.3,6.69,13.1,250,10.1,8.14,226.1
25.0,9.64,63.3,267,29.2,8.02,274.9
25.6,6.12,36.0,123,38.1,6.6,50.0
18.2,6.86,37.5,298,28.9,8.19,222.7
26.0,7.16,62.8,200,16.6,7.38,226.7
20.1,7.2,74.3,123,22.5,7.18,160.5
29.5,8.06,76.6,178,27.6,7.59,161.1
19.8,9.72,50.4,141,22.9,6.68,143.1
23.0,6.2,35.0,84,9.2,8.01,84.6
19.0,5.61,65.1,145,15.9,7.66,132.6
30.0,5.99,27.6,172,33.1,6.87,95.4
24.0,9.43,49.5,230,35.1,6.88,197.9
25.1,8.23,35.1,209,9.8,6.87,201.5
18.8,6.43,56.0,231,38.3,6.61,207.7
27.0,9.08,26.8,82,16.5,7.68,69.8
20.5,9.31,23.4,209,28.2,8.18,177.2
28.8,9.23,74.3,342,31.3,6.53,270.9
20.5,9.59,17.1,337,33.4,6.6,250.1
20.3,6.26,45.4,166,38.1,7.65,91.2
18.4,8.78,25.5,211,16.0,8.14,162.2
23.7,7.3,12.7,30,35.0,7.15,50.0
24.8,9.21,12.5,73,9.6,7.2,116.3
18.8,8.64,22.3,256,29.7,7.69,158.0
27.3,8.88,70.7,360,31.0,7.05,311.6
23.4,8.28,29.8,127,28.7,6.55,62.6
24.3,5.89,76.5,237,13.8,7.97,278.0
23.3,7.73,50.7,294,35.6,7.75,205.6
22.8,9.92,40.6,317,10.9,7.66,334.4
24.7,9.69,50.6,300,6.9,7.98,353.5
19.9,5.22,46.2,169,30.1,7.85,115.6
20.2,5.82,63.1,266,21.6,6.91,229.2
28.3,5.66,29.8,101,34.7,7.2,60.7
29.4,8.63,34.7,184,18.4,6.75,159.4
22.5,9.09,72.6,219,10.9,6.76,253.3
21.2,6.07,76.3,297,34.3,7.85,242.3
25.7,7.53,72.5,350,24.2,8.22,341.1
22.9,9.2,39.4,136,11.6,8.43,148.5
18.3,8.66,64.6,261,30.2,7.76,250.2
19.9,7.71,43.3,71,22.9,6.87,57.4
26.6,7.95,44.8,219,26.2,6.71,176.9
25.9,7.54,24.3,168,21.1,8.13,107.3
18.3,6.49,51.4,132,34.0,7.66,99.5
20.7,7.83,23.0,200,34.0,7.74,121.1
20.8,8.44,33.2,302,29.8,8.06,203.2
26.1,9.37,69.9,250,8.7,7.91,299.4
18.2,8.18,24.5,242,34.4,8.17,63.3
19.2,8.81,15.0,85,28.5,6.61,57.3
27.6,5.8,14.8,131,29.4,8.0,50.0
20.1,7.31,75.9,221,17.7,8.2,175.6
25.8,5.05,45.5,339,35.8,7.07,211.6
20.9,6.23,38.7,229,30.4,7.78,152.0
19.2,8.63,66.8,262,8.9,7.13,276.0
20.9,9.96,68.5,256,19.3,8.42,290.5
26.7,5.5,33.3,168,36.0,6.57,96.0
28.3,7.01,58.6,334,6.7,7.66,354.2
28.0,9.0,64.0,178,38.6,6.83,84.9
22.8,6.02,55.8,144,28.8,7.92,110.9
26.0,7.78,20.6,92,27.1,6.85,50.0
20.5,8.67,71.3,133,14.5,6.97,173.5
21.5,8.08,47.7,185,13.7,7.49,201.5
28.8,5.94,29.8,302,38.0,8.33,138.8
18.2,6.78,39.8,35,15.4,6.92,57.2
19.0,8.92,12.6,176,32.1,6.79,119.4
20.5,7.77,19.0,213,18.8,8.02,183.9
18.3,5.03,63.6,57,9.9,7.5,97.5
20.2,8.8,10.0,67,5.4,8.32,130.2
25.0,5.18,39.2,148,24.0,6.79,150.5
23.1,8.73,46.6,322,39.2,7.79,247.2
28.7,6.01,13.8,273,17.9,6.97,191.4
27.8,9.79,78.1,97,17.5,6.81,205.7
22.1,6.84,25.8,243,17.0,7.87,232.3
21.1,6.63,31.3,247,23.2,7.69,160.6
22.6,5.74,31.3,206,20.4,8.01,191.5
25.1,6.53,26.1,328,35.8,7.12,228.2
21.2,9.38,10.1,193,22.7,7.4,135.5
25.5,9.98,61.1,87,22.8,7.31,96.0
22.9,6.84,77.7,298,9.8,8.47,319.8
24.6,7.24,25.7,337,39.4,7.08,234.8
23.2,8.61,56.4,87,13.7,7.09,199.0
21.5,9.43,61.9,317,7.6,7.21,393.3
29.4,7.97,69.4,134,28.2,7.63,122.2
27.2,6.96,39.6,257,25.8,7.0,222.8
19.7,7.06,31.2,276,19.5,8.33,234.8
28.4,8.48,32.8,217,19.8,7.03,200.3
23.8,5.02,59.9,112,32.5,8.29,67.0
28.7,8.1,67.2,215,11.8,6.71,237.4
27.6,6.78,22.7,281,33.7,7.81,186.3
23.1,8.97,36.0,267,27.7,8.31,229.4
18.3,5.46,73.1,213,19.7,6.84,202.5
21.2,7.94,66.5,313,21.0,8.44,227.9
24.5,7.4,78.9,239,14.0,7.41,264.6
25.6,8.21,62.8,333,31.3,8.39,297.9
21.1,5.32,37.5,325,23.0,7.85,199.4
19.7,7.9,51.3,126,16.2,7.1,185.1
28.0,7.81,56.3,237,25.9,6.88,243.3
29.8,7.8,15.5,166,39.9,7.11,67.3
24.3,8.02,48.1,213,20.2,6.69,234.9
20.1,8.38,59.7,105,37.2,6.79,98.2
21.3,9.02,21.7,316,17.1,6.71,274.8
18.2,6.35,64.6,171,6.9,7.35,181.1
29.0,9.13,50.9,266,12.1,8.09,294.4
19.4,7.49,76.7,54,19.7,6.78,142.3
24.9,5.39,13.0,319,12.7,6.76,232.7
21.3,5.29,28.6,96,5.0,7.79,79.2
24.7,6.67,52.1,279,37.0,6.89,215.6
25.8,8.92,30.8,147,34.5,6.7,88.4
28.0,8.54,60.0,102,31.0,6.83,107.5
20.5,8.94,63.1,311,10.9,8.35,354.9
18.1,7.59,17.2,39,9.2,8.14,50.0
19.6,7.2,46.0,240,7.4,7.21,302.4
28.8,5.74,45.6,352,30.3,7.81,247.2
28.5,6.64,35.8,181,37.5,7.57,113.5
25.2,7.17,75.3,34,20.1,7.85,111.8
25.2,5.44,67.9,224,9.2,7.87,276.4
26.0,6.1,58.8,312,22.9,7.76,281.7
20.1,7.99,60.0,142,17.2,7.03,184.4
29.0,8.68,42.3,300,18.1,6.58,278.3
23.0,9.99,74.5,192,26.7,7.41,218.3
22.6,9.67,58.6,134,30.2,8.28,92.5
24.2,8.21,61.0,210,8.9,7.64,240.0
18.6,7.11,70.3,73,6.2,8.16,134.5
20.0,8.18,29.2,311,39.8,8.48,166.5
26.9,8.93,66.5,204,13.1,6.83,235.1
19.0,5.59,23.7,191,6.9,7.88,214.1
25.2,7.05,34.2,169,11.6,7.85,200.6
20.9,9.2,33.5,161,6.4,8.46,178.2
22.7,6.92,78.5,116,18.7,8.47,171.6
21.5,7.86,70.0,205,33.1,7.87,176.2
22.3,7.94,59.1,212,16.9,6.99,243.9
26.6,5.92,60.9,158,20.5,8.1,166.5
21.6,6.81,49.3,275,28.6,6.71,216.7
24.8,6.67,76.3,118,22.8,8.06,133.0
23.7,5.13,44.7,95,35.2,8.32,72.2
26.0,5.12,36.6,187,35.3,7.27,133.8
29.2,9.16,21.4,178,5.3,7.76,134.1
26.8,6.37,65.0,145,32.2,7.36,115.8
20.6,7.59,61.4,243,21.1,7.38,227.0
18.4,6.49,36.9,323,39.6,7.12,193.4
21.1,9.7,11.8,282,21.9,8.02,243.8
25.1,6.3,68.7,172,39.5,8.37,123.7
18.6,7.15,10.8,279,31.4,8.38,116.5
24.0,9.36,59.3,331,13.7,6.85,352.9
25.2,9.21,77.9,54,23.8,8.25,126.2
22.0,5.93,40.6,306,39.7,7.97,191.9
27.3,9.01,26.4,99,35.0,7.01,50.0
19.3,7.29,59.3,142,8.4,6.63,193.6
18.9,7.41,67.2,141,29.7,7.04,177.8
26.7,5.67,48.3,332,17.1,8.32,294.3
23.9,5.4,77.7,120,5.2,7.77,237.7
26.3,8.64,13.6,47,19.1,7.94,50.0
23.2,7.48,45.3,178,13.2,7.01,209.6
21.0,7.18,60.3,256,33.7,7.94,204.5
27.8,8.65,70.4,243,16.8,6.56,270.5
27.6,8.83,22.5,180,34.0,7.25,133.6
26.3,5.79,66.0,221,5.0,7.75,242.7
21.3,8.05,48.7,69,15.8,6.79,126.4
25.1,5.68,37.8,271,13.4,8.15,202.7
22.3,8.76,19.2,167,13.2,6.97,141.7
19.1,8.28,70.6,209,7.4,7.8,315.2
29.0,9.78,21.0,229,11.5,7.31,214.5
19.6,5.34,31.7,232,24.4,7.69,181.8
29.4,5.29,30.3,90,15.2,6.71,113.5
23.4,6.41,71.0,221,19.6,6.53,180.4
